name,number sold,highest bid,lowest ask
Dunk High Pro SB Supreme Blue Stars,7,$900,"$1,145"
Jordan 13 Retro Premio Bin 23,27,"$1,201","$1,200"
Nike Dunk SB Low Supreme NY Black Cement (2002),9,"$1,000","$1,250"
"Jordan 1 Retro Satin ""Royal""",196,"$1,180","$1,100"
"Vans Chukka Boot LX Kaws ""The Simpsons"" (2007)",2,"$1,000","$1,300"
Nike SB Blazer Supreme NYC Black (2006),11,"$1,550","$1,370"
Jordan 7 Retro Miro,13,"$1,050","$1,400"
adidas NMD R1 NYC Red Apple,34,"$1,975","$1,500"
Air Force 1 Low VLONE (2017),105,"$1,800","$1,699"
"Jordan 1 Retro Satin ""Banned""",113,"$1,980","$1,744"
Air Max 1 Animal Pack,12,"$1,800","$1,800"
Nike Dunk SB Low What The Dunk,15,"$2,500","$1,890"
Jordan 1 Retro Black Metallic Gold (2013),35,"$2,100","$1,922"
Jordan 13 Retro Ray Allen PE,20,"$1,700","$2,097"
Air Yeezy 1 Zen Grey,35,"$2,000","$2,100"
A Bathing Ape Bapesta Kanye West College Dropout,6,"$2,000","$2,380"
LeBron X Celebration Pack,7,"$1,600","$2,400"
Jordan 1 Retro High OG Spike Lee Fort Greene,11,"$1,801","$2,695"
Air Yeezy 1 Blink,18,"$3,000","$2,800"
Air Max 1 AMS Parra Amsterdam,3,"$2,450","$2,800"
Jordan 2 Retro Eminem (The Way I Am),7,"$3,000","$3,200"
"Air Max 1 Parra Patta ""Cherrywood""",3,"$5,000","$3,300"
Foamposite One ParaNorman,15,"$3,027","$3,371"
adidas NMD Friends and Family Pitch Black,9,"$1,600","$3,380"
adidas NMD R1 Primeknit Friends and Family,3,"$2,700","$3,500"
LeBron 8 112 Pack (Clark Kent),1,"$1,000","$4,000"
adidas 3D Runner Black,6,"$2,900","$4,500"
Jordan 3 Retro Oregon Ducks Pit Crew Black,2,"$4,122","$4,899"
Air Yeezy 2 Red October,87,"$5,558","$5,000"
Louis Vuitton Don Kanye Red,--,"$1,700","$6,750"
adidas NMD Pharrell HU Friends and Family Burgundy,26,"$4,100","$7,499"
Louis Vuitton Jaspers Kanye Patchwork Grey/Pink,--,"$4,500","$7,800"
UA Curry 3Zer0 LTD Gold (Signed),1,"$1,000","$8,000"
Jordan 4 Retro Oregon Ducks,--,"$3,750","$8,000"
"Nike Dunk SB Low Staple ""NYC Pigeon""",3,"$7,650","$8,200"
LeBron 4 Fruity Pebbles,1,"$4,000",None
